"ind" "Trait1" "Trait2"
"IND106" "-0.199" " 0.801"
"IND107" "-3.061" "-2.061"
"IND108" "-6.55" "-5.55"
"IND109" "0.733" "1.733"
"IND110" "-4.523" "-3.523"
"IND111" "5.805" "6.805"
"IND112" "8.792" "9.792"
"IND113" "-4.4" "-3.4"
"IND114" "6.327" "7.327"
"IND115" "-1.157" "-0.157"
"IND116" "8.593" "9.593"
"IND117" "2.719" "3.719"
"IND118" "-4.946" "-3.946"
"IND119" "4.328" "5.328"
"IND120" "12.796" "13.796"
"IND121" "-6.412" "-5.412"
"IND122" "7.277" "8.277"
"IND123" "7.213" "8.213"
"IND124" "7.663" "8.663"
"IND125" "-6.397" "-5.397"
"IND126" "-9.743" "-8.743"
"IND127" "6.706" "7.706"
"IND128" "4.052" "5.052"
"IND129" "3.03" "4.03"
"IND130" "-8.413" "-7.413"
"IND131" "10.304" "11.304"
"IND132" "5.283" "6.283"
"IND133" "-11.769" "-10.769"
"IND134" "1.377" "2.377"
"IND135" "-6.981" "-5.981"
"IND136" "-3.856" "-2.856"
"IND137" "-0.723" " 0.277"
"IND138" "-6.602" "-5.602"
"IND139" "-1.531" "-0.531"
"IND140" "-7.808" "-6.808"
"IND141" "-12.096" "-11.096"
"IND142" "2.032" "3.032"
"IND143" "1.237" "2.237"
"IND144" "-0.61" " 0.39"
"IND145" "-4.227" "-3.227"
"IND146" "10.36" "11.36"
"IND147" "-3.65" "-2.65"
"IND148" "-8.899" "-7.899"
"IND149" "5.145" "6.145"
"IND150" "-2.059" "-1.059"
"IND151" "-3.952" "-4.952"
"IND152" "-5.859" "-6.859"
"IND153" "-5.025" "-6.025"
"IND154" "-5.464" "-6.464"
"IND155" "12.827" "11.827"
"IND156" "1.069" "0.069"
"IND157" "-4.9" "-5.9"
"IND158" "1.554" "0.554"
"IND159" "-8.742" "-9.742"
"IND160" "1.224" "0.224"
"IND161" "9.47" "8.47"
"IND162" "-0.119" "-1.119"
"IND163" "-0.142" "-1.142"
"IND164" "8.332" "7.332"
"IND165" "-0.942" "-1.942"
"IND166" "-3.477" "-4.477"
"IND167" "-3.561" "-4.561"
"IND168" "-5.664" "-6.664"
"IND169" "-2.704" "-3.704"
"IND170" "8.401" "7.401"
"IND171" "-4.121" "-5.121"
"IND172" "-15.075" "-16.075"
"IND173" "-2.477" "-3.477"
"IND174" "-7.061" "-8.061"
"IND175" "-2.77" "-3.77"
"IND176" " -9.353" "-10.353"
"IND177" "7.061" "6.061"
"IND178" "-4.765" "-5.765"
"IND179" " -9.522" "-10.522"
"IND180" "6.125" "5.125"
"IND181" "-7.393" "-8.393"
"IND182" "-3.844" "-4.844"
"IND183" " 0.978" "-0.022"
"IND184" "-5.449" "-6.449"
"IND185" "7.663" "6.663"
"IND186" "9.537" "8.537"
"IND187" "-4.781" "-5.781"
"IND188" "3.757" "2.757"
"IND189" " 0.084" "-0.916"
"IND190" "-4.332" "-5.332"
"IND191" "-7.278" "-8.278"
"IND192" "-11.475" "-12.475"
"IND193" "4.129" "3.129"
"IND194" "2.507" "1.507"
"IND195" "-4.455" "-5.455"
"IND196" "2.074" "1.074"
"IND197" "-7.084" "-8.084"
"IND198" "-8.873" "-9.873"
"IND199" "9.769" "8.769"
"IND200" "2.693" "1.693"
"IND201" " 0.593" "-0.407"
"IND202" "8.031" "7.031"
"IND203" "1.654" "0.654"
"IND204" "2.893" "1.893"
"IND205" "-0.248" "-1.248"
"IND206" "-0.834" "-1.834"
"IND207" "-6.287" "-7.287"
"IND208" "-1.152" "-2.152"
"IND209" " -9.003" "-10.003"
"IND210" " 0.749" "-0.251"
"IND211" "4.965" "3.965"
"IND212" "-5.735" "-6.735"
"IND213" "-5.669" "-6.669"
"IND214" "4.353" "3.353"
"IND215" "-6.326" "-7.326"
"IND216" "-11.413" "-12.413"
"IND217" "20.157" "19.157"
"IND218" "6.759" "5.759"
"IND219" "6.636" "5.636"
"IND220" "-4.942" "-5.942"
"IND221" "8.507" "7.507"
"IND222" "-1.714" "-2.714"
"IND223" "-6.025" "-7.025"
"IND224" "6.602" "5.602"
"IND225" "6.691" "5.691"
"IND226" "7.35" "6.35"
"IND227" "-2.651" "-3.651"
"IND228" "-6.505" "-7.505"
"IND229" "8.464" "7.464"
"IND230" "-4.992" "-5.992"
"IND231" "-4.449" "-5.449"
"IND232" "8.026" "7.026"
"IND233" "-3.246" "-4.246"
"IND234" "12.063" "11.063"
"IND235" " 0.453" "-0.547"
"IND236" " 0.463" "-0.537"
"IND237" "-5.111" "-6.111"
"IND238" "6.816" "5.816"
"IND239" " -9.255" "-10.255"
"IND240" "-10.243" "-11.243"
"IND241" "1.453" "0.453"
"IND242" "-7.548" "-8.548"
"IND243" "1.167" "0.167"
"IND244" "-11.644" "-12.644"
"IND245" "6.891" "5.891"
"IND246" "-6.348" "-7.348"
"IND247" "3.007" "2.007"
"IND248" "-1.393" "-2.393"
"IND249" "-0.133" "-1.133"
"IND250" "2.754" "1.754"
"IND251" "3.291" "2.291"
"IND252" "7.232" "6.232"
"IND253" "-1.406" "-2.406"
"IND254" "-3.699" "-4.699"
"IND255" "-7.765" "-8.765"
"IND256" " -9.359" "-10.359"
"IND257" "17.243" "16.243"
"IND258" "3.432" "2.432"
"IND259" "18.933" "17.933"
"IND260" "9.018" "8.018"
"IND261" "-0.553" "-1.553"
"IND262" "-18.828" "-19.828"
"IND263" "7.467" "6.467"
"IND264" "5.637" "4.637"
"IND265" "7.148" "6.148"
"IND266" "8.92" "7.92"
"IND267" "5.119" "4.119"
"IND268" "2.89" "1.89"
"IND269" "-3.368" "-4.368"
"IND270" "2.16" "1.16"
"IND271" "4.149" "3.149"
"IND272" "2.441" "1.441"
"IND273" "7.876" "6.876"
"IND274" "7.739" "6.739"
"IND275" "-5.375" "-6.375"
"IND276" "6.341" "5.341"
"IND277" "-7.085" "-8.085"
"IND278" "-1.327" "-2.327"
"IND279" "-5.489" "-6.489"
"IND280" " 0.274" "-0.726"
"IND281" "10.933" " 9.933"
"IND282" " 0.064" "-0.936"
"IND283" " -9.407" "-10.407"
"IND284" "6.008" "5.008"
"IND285" "10.761" " 9.761"
"IND286" "-3.104" "-4.104"
"IND287" "5.001" "4.001"
"IND288" " -9.766" "-10.766"
"IND289" "1.073" "0.073"
"IND290" "4.962" "3.962"
"IND291" "-3.82" "-4.82"
"IND292" "-13.265" "-14.265"
"IND293" "6.496" "5.496"
"IND294" "1.718" "0.718"
"IND295" "-7.708" "-8.708"
"IND296" "6.62" "5.62"
"IND297" "1.157" "0.157"
"IND298" "6.66" "5.66"
"IND299" "-0.356" "-1.356"
"IND300" " 0.443" "-0.557"
